model,n,ps,pd,h,b,w_self,T,steps_run,seed,init_mode,x0,noise,ndi_0,ndi_T,delta_ndi,island_sep_T
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,0,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,1,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,2,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,3,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,4,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,5,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,6,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,7,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,8,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,9,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,10,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,11,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,12,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,13,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,14,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,15,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,16,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,17,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,18,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,19,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,20,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,21,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,22,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,23,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,24,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,25,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,26,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,27,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
degroot,100,0.1,0.1,1.0,0.0,0.0,50,50,28,theorem,0.7,0.05,159.9999999999973,0.0,-159.9999999999973,0.0
