h,b,runs,mean_delta_ndi,std_delta_ndi,mean_ndi_T,mean_island_sep_T
1.0,0.0,30,-159.9999999999973,0.0,0.0,0.0
1.0,0.5,30,-159.9999999999973,0.0,1.9721522630525295e-28,2.220446049250313e-16
1.0,0.8,30,-159.99999996343715,0.0,3.656014383528111e-08,6.0464984771302355e-06
1.0,1.0,30,-0.013344138336009337,0.0,159.9866558616613,0.3999833194792748
1.0,1.2,30,840.0000000000026,0.0,1000.0,1.0
2.0,0.0,30,-159.9999999999973,0.0,0.0,0.0
2.0,0.5,30,-159.99999809402826,0.0,1.9059690535855519e-06,4.3657405484176515e-05
2.0,0.8,30,684.0656709125568,0.0,844.0656709125542,0.9187304669556566
2.0,1.0,30,840.0000000000023,0.0,999.9999999999995,0.9999999999999979
2.0,1.2,30,840.0000000000026,0.0,1000.0,1.0
4.0,0.0,30,-159.9999999999973,0.0,1.0452450384609681e-20,3.2328584254059933e-12
4.0,0.5,30,395.421821806819,0.0,555.4218218068163,0.7452662757745134
4.0,0.8,30,836.0274078566755,0.0,996.0274078566728,0.9980117273142025
4.0,1.0,30,840.0000000000026,0.0,1000.0,1.0
4.0,1.2,30,840.0000000000026,0.0,1000.0,1.0
8.0,0.0,30,-159.99999999804893,0.0,1.9483772095921714e-09,1.3958428329297057e-06
8.0,0.5,30,758.3673464551729,0.0,918.3673464551701,0.9583148472475872
8.0,0.8,30,839.8777620889118,0.0,999.8777620889091,0.9999388791765857
8.0,1.0,30,840.0000000000026,0.0,1000.0,1.0
8.0,1.2,30,840.0000000000026,0.0,1000.0,1.0
